patch_id,p
Ghana_1078550_0_0,0.1280596306960519
Ghana_1078550_0_32,0.15518502522218747
Ghana_1078550_0_64,0.1494738962638961
Ghana_1078550_0_96,0.20716902825340008
Ghana_1078550_0_128,0.15908738921567292
Ghana_1078550_0_160,0.13566011476264964
Ghana_1078550_0_192,0.1351160336085432
Ghana_1078550_0_224,0.14810397059361563
Ghana_1078550_0_256,0.15341554317318662
Ghana_1078550_0_288,0.14232449479241704
Ghana_1078550_0_320,0.1456718844450948
Ghana_1078550_0_352,0.16415159251257103
Ghana_1078550_0_384,0.13595520737241162
Ghana_1078550_0_416,0.13373753746942277
Ghana_1078550_0_448,0.09283548060067481
Ghana_1078550_0_480,0.11113046067233685
Ghana_1078550_32_0,0.10765267587029201
Ghana_1078550_32_32,0.13111960855740437
Ghana_1078550_32_64,0.15395323094590352
Ghana_1078550_32_96,0.19725996365920936
Ghana_1078550_32_128,0.15823863567995414
Ghana_1078550_32_160,0.17251275347781947
Ghana_1078550_32_192,0.15449607644551516
Ghana_1078550_32_224,0.1524945804033608
Ghana_1078550_32_256,0.13323058461158638
Ghana_1078550_32_288,0.12907311731526389
Ghana_1078550_32_320,0.125760464883104
Ghana_1078550_32_352,0.1203771572431097
Ghana_1078550_32_384,0.09202121419891725
Ghana_1078550_32_416,0.09191664764828296
Ghana_1078550_32_448,0.1087663637231661
Ghana_1078550_32_480,0.1460775382293117
Ghana_1078550_64_0,0.09383977454410318
Ghana_1078550_64_32,0.0919519354617105
Ghana_1078550_64_64,0.10859247011496151
Ghana_1078550_64_96,0.16763003910253185
Ghana_1078550_64_128,0.14201935632028193
Ghana_1078550_64_160,0.12048676606894611
Ghana_1078550_64_192,0.11429330474039726
Ghana_1078550_64_224,0.0967999038385807
Ghana_1078550_64_256,0.10885816208874716
Ghana_1078550_64_288,0.10442278555672911
Ghana_1078550_64_320,0.12977308651711272
Ghana_1078550_64_352,0.10759358653130305
Ghana_1078550_64_384,0.08664658618938899
Ghana_1078550_64_416,0.12595762799222318
Ghana_1078550_64_448,0.11869864391944872
Ghana_1078550_64_480,0.14371725483363995
Ghana_1078550_96_0,0.08730029516964848
Ghana_1078550_96_32,0.09375456053571736
Ghana_1078550_96_64,0.10299358421441591
Ghana_1078550_96_96,0.11585684483644569
Ghana_1078550_96_128,0.09504326286773394
Ghana_1078550_96_160,0.055891801809072134
Ghana_1078550_96_192,0.057213685883333934
Ghana_1078550_96_224,0.0816517158386514
Ghana_1078550_96_256,0.06879442505671993
Ghana_1078550_96_288,0.05627977863516437
