split,row_index,x_path,reason
train,998,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_0_0.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,999,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_0_32.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1000,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_0_64.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1001,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_0_96.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1002,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_0_128.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1003,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_0_160.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1004,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_0_192.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1005,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_0_224.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1006,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_0_256.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1007,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_0_288.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1008,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_0_320.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1009,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_0_352.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1010,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_0_384.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1014,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_32_0.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1015,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_32_32.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1016,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_32_64.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1017,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_32_96.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1018,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_32_128.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1019,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_32_160.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1020,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_32_192.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1021,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_32_224.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1022,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_32_256.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1023,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_32_288.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1024,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_32_320.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1025,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_32_352.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1026,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_32_384.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1030,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_64_0.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1031,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_64_32.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1032,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_64_64.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1033,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_64_96.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
train,1034,data/processed/patches/sen1floods11_handlabeled/train/Ghana_134751_64_128.npy,ValueError:Invalid SAR: nan_frac=1.000 > 0.5
